fixture_row_id,audit_only_flag,excluded_from_runtime_and_vendor_inputs,synthetic_sex,synthetic_race_ethnicity,synthetic_age_band,synthetic_outcome,synthetic_score_label,synthetic_reason_code,nonidentifying_note
SYN-FF-022,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-White,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-023,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-White,40-54,deny,540,CCUS-BUR-THIN,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-024,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-White,55+,deny,540,CCUS-BUR-INQ,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-025,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Hispanic,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-026,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Hispanic,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-027,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Hispanic,40-54,deny,540,CCUS-EMP-LEN,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-028,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Hispanic,55+,deny,540,CCUS-BUR-DLQ,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-029,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Asian,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-030,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Asian,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-031,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Asian,40-54,deny,540,CCUS-INC-AMT,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-032,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Asian,55+,deny,540,CCUS-INC-OBL,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
